              LEXEME	             LINE_NO	      VALUE (if num)	            TOKENAME	              PARENT	            IS LEAF?	         NODE SYMBOL         RULE_NUMBER

             declare	              1	                ----	             DECLARE	   moduleDeclaration	                 YES	             DECLARE                   0
                ----	              0	                ----	                ----	  moduleDeclarations	                NOPE	   moduleDeclaration                   4
              module	              1	                ----	              MODULE	   moduleDeclaration	                 YES	              MODULE                   0
             readArr	              1	                ----	                  ID	   moduleDeclaration	                 YES	                  ID                   0
                   ;	              1	                ----	             SEMICOL	   moduleDeclaration	                 YES	             SEMICOL                   0
                ----	              0	                ----	                ----	             program	                NOPE	  moduleDeclarations                   2
             declare	              2	                ----	             DECLARE	   moduleDeclaration	                 YES	             DECLARE                   0
                ----	              0	                ----	                ----	  moduleDeclarations	                NOPE	   moduleDeclaration                   4
              module	              2	                ----	              MODULE	   moduleDeclaration	                 YES	              MODULE                   0
           arraySum2	              2	                ----	                  ID	   moduleDeclaration	                 YES	                  ID                   0
                   ;	              2	                ----	             SEMICOL	   moduleDeclaration	                 YES	             SEMICOL                   0
                ----	              0	                ----	                ----	  moduleDeclarations	                NOPE	  moduleDeclarations                   2
                 EPS	              0	                ----	                 EPS	  moduleDeclarations	                 YES	                 EPS                   0
                ----	              0	                ----	                ----	  moduleDeclarations	                NOPE	  moduleDeclarations                   3
                ----	              0	                ----	                ----	                ----	                NOPE	             program                   1
                  <<	              5	                ----	                 DEF	              module	                 YES	                 DEF                   0
                ----	              0	                ----	                ----	        otherModules	                NOPE	              module                   8
              module	              5	                ----	              MODULE	              module	                 YES	              MODULE                   0
            arraySum	              5	                ----	                  ID	              module	                 YES	                  ID                   0
                  >>	              5	                ----	              ENDDEF	              module	                 YES	              ENDDEF                   0
               takes	              6	                ----	               TAKES	              module	                 YES	               TAKES                   0
               input	              6	                ----	               INPUT	              module	                 YES	               INPUT                   0
                   [	              6	                ----	                SQBO	              module	                 YES	                SQBO                   0
                list	              6	                ----	                  ID	         input_plist	                 YES	                  ID                   0
                ----	              0	                ----	                ----	              module	                NOPE	         input_plist                  13
                   :	              6	                ----	               COLON	         input_plist	                 YES	               COLON                   0
               array	              6	                ----	               ARRAY	            datatype	                 YES	               ARRAY                   0
                ----	              0	                ----	                ----	         input_plist	                NOPE	            datatype                  20
                   [	              6	                ----	                SQBO	            datatype	                 YES	                SQBO                   0
                   1	              6	                   1	                 NUM	            index_nt	                 YES	                 NUM                   0
                ----	              0	                ----	                ----	            rangeArr	                NOPE	            index_nt                  49
                ----	              0	                ----	                ----	            datatype	                NOPE	            rangeArr                  21
                  ..	              6	                ----	             RANGEOP	            rangeArr	                 YES	             RANGEOP                   0
                  15	              6	                  15	                 NUM	            index_nt	                 YES	                 NUM                   0
